sm810,Sue Carol,1907
sm811,Leslie Caron,1931
sm812,Horace Carpenter,
sm813,Linda Carpenter,
sm814,Carpin,
sm815,Carol Carr,
sm816,Charmian Carr,1944
sm817,Darleen Carr,
sm818,Mary Carr,1874
sm819,Paul Carr,
sm820,Bruce Carradine,
sm821,John Carradine,1906
sm822,Robert Carradine,1954
sm823,Barbara Carrera,1945
sm824,Matthew Carriere,
sm825,Pat Carrol,
sm826,Regina Carrol,
sm827,John Carroll,1906
sm828,Leo G. Carroll,1892
sm829,Madeleine Carroll,1906
sm830,Nancy Carroll,1905
sm831,Regina Carroll,
sm832,Charles Carson,1898
sm833,Jack Carson,1910
sm834,John Carson,1927
sm835,Kit Carson,
sm836,Ann Carter,1936
sm837,Ben Carter,1911
sm838,Helena Carter,1923
sm839,Jack Carter,1922
sm840,Lydia Carter,
sm841,Lynda Carter,
sm842,T.K. Carter,
sm843,Anthony Caruso,1913
sm844,Louise Carver,1898
sm845,Maria Casares,1922
sm846,Bernie Casey,
sm847,Rosalind Cash,1945
sm848,John Cassavetes,1929
sm849,JeanPierre Cassel,1932
sm850,Jack Cassidy,
sm851,Ted Cassidy,1932
sm852,JeanPierre Castaldi,
sm853,Richard Castellano,1931
sm854,William Castle,1914
sm855,Walter Catlett,1889
sm856,Kim Cattrall,
sm857,Joan Caulfield,1922
sm858,Olimpia Cavalli,
sm859,Paul Cavanagh,1895
sm860,Hobart Cavanaugh,1886
sm861,Dick Cavett,
sm862,Joseph Cawthorn,1868
sm863,John Cazale,1936
sm864,Christopher Cazenove,
sm865,Gino Cervi,1901
sm866,Renzo Cesana,
sm867,June Chadwick,
sm868,George Chakiris,1933
sm869,William Challee,
sm870,Wilt Chamberlain,
sm871,Lolita Chammah,1983
sm872,Marge Champion,1923
sm873,Chick Chandler,1905
sm874,George Chandler,1902
sm875,Helen Chandler,1909
sm876,Jeff Chandler,1918
sm877,Joan Chandler,1923
sm878,John Davis Chandler,1937
sm879,Simon Chandler,
sm880,Lon Chaney,1883
sm881,Lon Chaney jr.,1906
sm882,Carol Channing,1921
sm883,Margo Channing,
sm884,Charlie Chaplin,1889
sm885,Esme Chaplin,
sm886,Josephine Chaplin,
sm887,Oona Chaplin,1926
sm888,Edward Chapman,1901
sm889,Geraldine Chapman,
sm890,Graham Chapman,
sm891,Lonny Chapman,
sm892,Marguerite Chapman,1916
sm893,Cyd Charisse,1921
sm894,Bobby H. Charles,
sm895,Ray Charles,1930
sm896,Ian Charleson,
sm897,Henri Charrieri,
sm898,Spencer Charters,1878
sm899,Charlie Chase,1893
sm900,Stephen Chase,
sm901,Martine Chassaing,
sm902,Marvin Chatinover,
sm903,Ruth Chatterton,1893
sm904,Chubby Checker,1941
sm905,Michael Chekhov,1891
sm906,Patrice Chereau,
sm907,Nicolai Cherkassov,1903
sm908,Virginia Cherrill,1908
sm909,Arthur Chesney,
sm910,Helen Chester,
sm911,Anne Chevalier,1915
sm912,Maurice Chevalier,1888
sm913,Walter Chiari,1924
sm914,Sonny Chiba,
sm915,Lois Chiles,1950
sm916,Eric Chitty,
sm917,Rae Dawn Chong,1961
sm918,Navin Chowdhury,
sm919,Linda Cristian,
sm920,Suzanne Christian,
sm921,Audrey Christie,1912
sm922,Dave Dennis Christopher,1955
sm923,Kay Christopher,
sm924,William Christopher,
sm925,International Chrysis,1951
sm926,Berton Churchill,1876
sm927,Sarah Churchill,
sm928,Eduardo Cianelli,1887
sm929,Diane Cilento,1933
sm930,Michael Cimino,1940
sm931,Augusta Ciolli,
sm932,Audrey Claire,
sm933,Ina Claire,1892
sm934,Jimmy Clanton,
sm935,Gordon Clapp,
sm936,Mary Clare,1894
sm937,O.B. Clarence,1870
sm938,D. Greydon Clark,
sm939,Candy Clark,1949
sm940,Cliff Clark,1893
sm941,Dane Clark,1913
sm942,Ernest Clark,1912
sm943,Fred Clark,1914
sm944,Ken Clark,
sm945,Marguerite Clark,1883
sm946,Petula Clark,1932
sm947,Susan Clark,1940
sm948,Mae Clarke,1910
sm949,Caitlin Clarke,
sm950,Sharon D. Clarke,
sm951,Warren Clarke,
sm952,D.A. ClarkeSmith,1888
sm953,Jill Clayburgh,1945
sm954,Ethel Clayton,1884
sm955,Pierre Clementi,1941
sm956,John Clements,1910
sm957,David Clendinning,
sm958,David Clennon,
sm959,Corinne Clery,
sm960,Jimmy Cliff,
sm961,Montgomery Clift,1920
sm962,Colin Clive,1898
